budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,total_minutes
100000000,dolma_sample,1337,no_role_depth,5.00,1000,32768000,146.898,20.303
100000000,dolma_sample,1337,no_role_depth,4.80,1250,40960000,121.035,20.303
100000000,dolma_sample,1337,no_role_depth,4.60,1650,54067200,99.281,20.303
100000000,dolma_sample,1337,no_role_depth,4.50,1950,63897600,89.926,20.303
100000000,dolma_sample,1337,no_role_depth,4.40,2450,80281600,80.897,20.303
100000000,dolma_sample,1337,no_role_depth,4.35,2850,93388800,77.237,20.303
100000000,dolma_sample,1337,role_depth_v2,5.00,1000,32768000,143.167,20.886
100000000,dolma_sample,1337,role_depth_v2,4.80,1250,40960000,118.969,20.886
100000000,dolma_sample,1337,role_depth_v2,4.60,1650,54067200,97.948,20.886
100000000,dolma_sample,1337,role_depth_v2,4.50,1900,62259200,89.949,20.886
100000000,dolma_sample,1337,role_depth_v2,4.40,2350,77004800,81.112,20.886
100000000,dolma_sample,1337,role_depth_v2,4.35,2700,88473600,77.206,20.886
100000000,dolma_sample,1337,role_depth_v3,5.00,1000,32768000,145.032,21.076
100000000,dolma_sample,1337,role_depth_v3,4.80,1250,40960000,120.351,21.076
100000000,dolma_sample,1337,role_depth_v3,4.60,1650,54067200,99.176,21.076
100000000,dolma_sample,1337,role_depth_v3,4.50,1950,63897600,89.790,21.076
100000000,dolma_sample,1337,role_depth_v3,4.40,2450,80281600,80.785,21.076
100000000,dolma_sample,1337,role_depth_v3,4.35,2850,93388800,77.152,21.076
100000000,dolma_sample,1337,role_depth_v4,5.00,1000,32768000,143.212,24.710
100000000,dolma_sample,1337,role_depth_v4,4.80,1250,40960000,118.777,24.710
100000000,dolma_sample,1337,role_depth_v4,4.60,1650,54067200,97.937,24.710
100000000,dolma_sample,1337,role_depth_v4,4.50,1950,63897600,88.753,24.710
100000000,dolma_sample,1337,role_depth_v4,4.40,2350,77004800,81.375,24.710
100000000,dolma_sample,1337,role_depth_v4,4.35,2750,90112000,77.013,24.710
100000000,dolma_sample,2027,full,5.00,950,31129600,146.585,22.439
100000000,dolma_sample,2027,full,4.80,1200,39321600,121.005,22.439
100000000,dolma_sample,2027,full,4.60,1650,54067200,98.103,22.439
100000000,dolma_sample,2027,full,4.50,1950,63897600,89.441,22.439
100000000,dolma_sample,2027,full,4.40,2400,78643200,81.355,22.439
100000000,dolma_sample,2027,full,4.35,2800,91750400,77.405,22.439
100000000,dolma_sample,2027,no_role_depth,5.00,1000,32768000,143.337,26.119
100000000,dolma_sample,2027,no_role_depth,4.80,1250,40960000,118.902,26.119
100000000,dolma_sample,2027,no_role_depth,4.60,1700,55705600,97.828,26.119
100000000,dolma_sample,2027,no_role_depth,4.50,2000,65536000,89.406,26.119
100000000,dolma_sample,2027,no_role_depth,4.40,2500,81920000,81.025,26.119
100000000,dolma_sample,2027,no_role_depth,4.35,2950,96665600,77.354,26.119
