phase,dataset,method,method_label,activation,optimizer,rows,train_events,logged_forward_backward_seconds_mean,logged_forward_backward_seconds_std,logged_optimizer_step_seconds_mean,logged_optimizer_step_seconds_std,seconds_per_step_mean,tokens_per_second_mean,logged_forward_backward_fraction_of_recent_step,logged_optimizer_fraction_of_recent_step
E1_m0_100m,dclm,silu_came,SiLU+CAME,silu,adafactor_came,3,918,0.61991382,0.032723514,0.049789371,0.0019425323,0.67305453,48780.367,0.92104546,0.073975241
E1_m0_100m,dclm,silu_lion,SiLU+Lion,silu,lion,3,918,0.61597681,0.030386676,0.013076998,0.00010028323,0.63245851,51904.277,0.97394028,0.020676452
E1_m0_100m,dclm,silu_muon,SiLU+Muon,silu,muon,3,918,0.61670182,0.031683848,0.051813519,0.0099137469,0.6718729,48886.923,0.91788465,0.077118038
E1_m0_100m,dclm,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,918,0.61583784,0.02843132,0.019962393,0.0010962755,0.63906705,51354.787,0.96365136,0.031236774
E1_m0_100m,dclm,silu_soap,SiLU+SOAP,silu,soap_adamw,3,918,0.62263589,0.033248878,0.45553604,0.80520732,0.72278954,46256.478,0.86143455,0.63024714
E1_m0_100m,dolma_sample,rlb_adamw,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,3,918,0.53840525,0.095096807,0.015271844,0.0023097906,0.55782924,59434.875,0.96517931,0.027377274
E1_m0_100m,dolma_sample,rlb_ademamix,RLB+ADeMaMix,rlb_fused_fixed_strong_ffn,ademamix,3,918,0.534376,0.098577519,0.026821699,0.00095049515,0.56552866,58742.51,0.94491409,0.047427657
E1_m0_100m,dolma_sample,rlb_came,RLB+CAME,rlb_fused_fixed_strong_ffn,adafactor_came,3,918,0.53411287,0.096430676,0.057587761,0.0012984677,0.5958702,55596.24,0.89635775,0.096644807
E1_m0_100m,dolma_sample,rlb_lion,RLB+Lion,rlb_fused_fixed_strong_ffn,lion,3,918,0.53597747,0.093741513,0.013452574,5.4805613e-05,0.55363266,59835.233,0.96811028,0.024298737
E1_m0_100m,dolma_sample,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,3,918,0.49894983,0.089333383,0.10365127,0.01078828,0.5684438,58431.47,0.87774697,0.18234216
E1_m0_100m,dolma_sample,rlb_muon,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,3,918,0.5399969,0.092809102,0.047364635,0.011199267,0.59149873,55943.133,0.91292994,0.080075633
E1_m0_100m,dolma_sample,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_fixed_strong_ffn,schedule_free_adamw,3,918,0.55442801,0.10373817,0.021186457,0.0011569913,0.57993445,57415.694,0.95601841,0.036532502
E1_m0_100m,dolma_sample,rlb_soap,RLB+SOAP,rlb_fused_fixed_strong_ffn,soap_adamw,3,918,0.53445539,0.096911762,0.064320111,0.081327626,0.56714304,58583.886,0.94236437,0.11341074
E1_m0_100m,dolma_sample,silu_adamw,SiLU+AdamW,silu,adamw,3,918,0.46380633,0.067449228,0.015372765,0.0025039552,0.48274029,69326.85,0.96077815,0.031844794
E1_m0_100m,dolma_sample,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,918,0.45297795,0.068372788,0.025396013,0.00092945953,0.48167667,69544.803,0.94041912,0.052724191
E1_m0_100m,dolma_sample,silu_came,SiLU+CAME,silu,adafactor_came,3,918,0.45273267,0.068877334,0.05073157,0.0015622958,0.50678113,65960.052,0.89334951,0.10010548
E1_m0_100m,dolma_sample,silu_lion,SiLU+Lion,silu,lion,3,918,0.45648499,0.06519803,0.013046351,5.3209397e-05,0.47294978,70704.73,0.96518701,0.027585067
E1_m0_100m,dolma_sample,silu_muon,SiLU+Muon,silu,muon,3,918,0.45684526,0.064709742,0.051675736,0.011114352,0.51192113,65142.204,0.89241337,0.10094472
E1_m0_100m,dolma_sample,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,918,0.45332833,0.068252625,0.01994327,0.0011504471,0.47654018,70312.594,0.95129088,0.041850134
E1_m0_100m,dolma_sample,silu_soap,SiLU+SOAP,silu,soap_adamw,3,918,0.45659222,0.066666436,0.45504525,0.80424364,0.55661169,61515.096,0.82030657,0.81752729
E1_m0_100m,fineweb,rlb_adamw,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,3,918,0.52221775,0.10880173,0.015191285,0.0020650151,0.54163916,62015.885,0.96414326,0.028046874
E1_m0_100m,fineweb,rlb_ademamix,RLB+ADeMaMix,rlb_fused_fixed_strong_ffn,ademamix,3,918,0.51758541,0.11004853,0.026891376,0.00091505585,0.54867461,61243.251,0.94333763,0.049011519
E1_m0_100m,fineweb,rlb_came,RLB+CAME,rlb_fused_fixed_strong_ffn,adafactor_came,3,918,0.52068861,0.10795701,0.055619978,0.0014948419,0.58062044,57636.866,0.89677968,0.09579404
E1_m0_100m,fineweb,rlb_lion,RLB+Lion,rlb_fused_fixed_strong_ffn,lion,3,918,0.52036405,0.10788772,0.013482736,8.1453576e-05,0.53806943,62385.773,0.96709462,0.025057613
E1_m0_100m,fineweb,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,3,918,0.48636447,0.10259041,0.089924569,0.013409228,0.54911288,61277.303,0.88572767,0.16376336
E1_m0_100m,fineweb,rlb_muon,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,3,918,0.52213231,0.10809437,0.047383174,0.01003018,0.57373653,58379.566,0.91005589,0.082586992
E1_m0_100m,fineweb,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_fixed_strong_ffn,schedule_free_adamw,3,918,0.52066121,0.10782333,0.021227518,0.0010789817,0.54604302,61435.974,0.95351683,0.038875175
