update,loss_tokens,proposal_accepted,functional_refresh,ledger_measurement,coefficient_abs_deviation_mean,coefficient_abs_deviation_max,budget_residual,beta2,fixed_activation_congruence,response_departure_energy
2477,649330688,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2478,649592832,False,False,gradient_surrogate,0.0,0.0,6.887826068520694e-16,0.95,1.0,0.0
2479,649854976,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2480,650117120,False,False,gradient_surrogate,0.0,0.0,1.0315694704838267e-15,0.95,1.0,0.0
2481,650379264,False,True,functional,0.0,0.0,3.408618912598514e-16,0.95,1.0,0.0
2482,650641408,False,False,gradient_surrogate,0.0,0.0,3.44008091611511e-16,0.95,1.0,0.0
2483,650903552,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2484,651165696,False,False,gradient_surrogate,0.0,0.0,3.435596970042018e-16,0.95,1.0,0.0
2485,651427840,False,False,gradient_surrogate,0.0,0.0,5.163381250423836e-16,0.95,1.0,0.0
2486,651689984,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2487,651952128,False,False,gradient_surrogate,0.0,0.0,6.8469224058197245e-16,0.95,1.0,0.0
2488,652214272,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2489,652476416,False,True,functional,0.0,0.0,6.882113461565833e-16,0.95,1.0,0.0
2490,652738560,False,False,gradient_surrogate,0.0,0.0,3.4373178389810024e-16,0.95,1.0,0.0
2491,653000704,False,False,gradient_surrogate,0.0,0.0,3.4440159498838944e-16,0.95,1.0,0.0
2492,653262848,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2493,653524992,False,False,gradient_surrogate,0.0,0.0,6.885632344829489e-16,0.95,1.0,0.0
2494,653787136,False,False,gradient_surrogate,0.0,0.0,3.4428264311386243e-16,0.95,1.0,0.0
2495,654049280,False,False,gradient_surrogate,0.0,0.0,1.0332111163336546e-15,0.95,1.0,0.0
2496,654311424,False,False,gradient_surrogate,0.0,0.0,3.4446875801286967e-16,0.95,1.0,0.0
2497,654573568,False,True,functional,0.0,0.0,3.4432377694540485e-16,0.95,1.0,0.0
2498,654835712,False,False,gradient_surrogate,0.0,0.0,1.3768299561615911e-15,0.95,1.0,0.0
2499,655097856,False,False,gradient_surrogate,0.0,0.0,1.0334104423400094e-15,0.95,1.0,0.0
2500,655360000,False,False,gradient_surrogate,0.0,0.0,6.889110724907596e-16,0.95,1.0,0.0
2501,655622144,False,False,gradient_surrogate,0.0,0.0,5.165278193196292e-16,0.95,1.0,0.0
2502,655884288,False,False,gradient_surrogate,0.0,0.0,6.888794693949894e-16,0.95,1.0,0.0
2503,656146432,False,False,gradient_surrogate,0.0,0.0,3.4446389166130884e-16,0.95,1.0,0.0
2504,656408576,False,False,gradient_surrogate,0.0,0.0,3.439452668868834e-16,0.95,1.0,0.0
2505,656670720,False,True,functional,0.0,0.0,0.0,0.95,1.0,0.0
2506,656932864,False,False,gradient_surrogate,0.0,0.0,3.4437305388432975e-16,0.95,1.0,0.0
2507,657195008,False,False,gradient_surrogate,0.0,0.0,1.031006823089685e-15,0.95,1.0,0.0
2508,657457152,False,False,gradient_surrogate,0.0,0.0,6.882940279470889e-16,0.95,1.0,0.0
2509,657719296,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2510,657981440,False,False,gradient_surrogate,0.0,0.0,3.443058156127582e-16,0.95,1.0,0.0
2511,658243584,False,False,gradient_surrogate,0.0,0.0,1.0330952255143726e-15,0.95,1.0,0.0
2512,658505728,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2513,658767872,False,True,functional,0.0,0.0,3.4403337177585623e-16,0.95,1.0,0.0
2514,659030016,False,False,gradient_surrogate,0.0,0.0,3.4432594375925044e-16,0.95,1.0,0.0
2515,659292160,False,False,gradient_surrogate,0.0,0.0,3.4303337084483464e-16,0.95,1.0,0.0
2516,659554304,False,False,gradient_surrogate,0.0,0.0,6.87989969313857e-16,0.95,1.0,0.0
2517,659816448,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2518,660078592,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
2519,660340736,False,False,gradient_surrogate,0.0,0.0,0.0,0.95,1.0,0.0
