update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,lr,muon_step_seconds,tiller_step_seconds
121,31719424,6.5360941886901855,6.428362846374512,-0.10773134231567383,0.0001815,4.549538413062692,4.739473596215248
122,31981568,6.5206217765808105,6.416965484619141,-0.10365629196166992,0.00018299999999999998,4.549845374189317,4.681488630361855
123,32243712,6.330976486206055,6.243352890014648,-0.08762359619140625,0.00018449999999999999,4.550758936442435,4.687997806817293
124,32505856,6.365400791168213,6.274215221405029,-0.0911855697631836,0.000186,4.549568069167435,4.67987360060215
125,32768000,6.3468732833862305,6.266149520874023,-0.08072376251220703,0.0001875,4.551068183965981,4.681268318556249
126,33030144,6.431946754455566,6.3459930419921875,-0.0859537124633789,0.00018899999999999996,4.549459287896752,4.6773861376568675
127,33292288,6.359364986419678,6.281012535095215,-0.07835245132446289,0.00019049999999999997,4.548218064941466,4.676886480301619
128,33554432,6.41663122177124,6.336180686950684,-0.08045053482055664,0.00019199999999999998,4.551285951398313,4.6778133464977145
129,33816576,6.412475109100342,6.329075813293457,-0.08339929580688477,0.0001935,4.549567990005016,4.733095280826092
130,34078720,6.439419746398926,6.362139701843262,-0.07728004455566406,0.000195,4.548511751927435,4.679975473321974
131,34340864,6.39276123046875,6.314119338989258,-0.07864189147949219,0.00019649999999999998,4.550630250014365,4.692018788307905
132,34603008,6.3391008377075195,6.255489826202393,-0.08361101150512695,0.000198,4.549657689407468,4.6869901940226555
133,34865152,6.431866645812988,6.35733699798584,-0.07452964782714844,0.0001995,4.550776349380612,4.69025662727654
134,35127296,6.505816459655762,6.426190376281738,-0.07962608337402344,0.000201,4.548797846771777,4.690636335872114
135,35389440,6.482198715209961,6.384199142456055,-0.09799957275390625,0.00020249999999999996,4.549313645809889,4.6768775982782245
136,35651584,6.40974760055542,6.344086170196533,-0.06566143035888672,0.00020399999999999997,4.548914338462055,4.677339266985655
137,35913728,6.315248012542725,6.251215934753418,-0.06403207778930664,0.00020549999999999998,4.549695070832968,4.733815767802298
