update,loss_tokens,muon_train_loss,tiller_train_loss,train_loss_gap_tiller_minus_muon,muon_train_mean_last_100,tiller_train_mean_last_100,muon_validation_loss,tiller_validation_loss,validation_loss_gap_tiller_minus_muon,muon_validation_ppl,tiller_validation_ppl,validation_ppl_gap_tiller_minus_muon
3400,891289600,3.035661220550537,3.0287554264068604,-0.006905794143676758,3.12300155878067,3.1174957060813906,3.0083044208586216,3.0025578923523426,-0.005746528506278992,20.253030179641144,20.136979328495578,-0.11605085114556601
3500,917504000,2.9804110527038574,2.979336738586426,-0.0010743141174316406,3.1099498438835145,3.105098316669464,3.0073334835469723,3.0018373914062977,-0.005496092140674591,20.23337530033769,20.122475841354436,-0.11089945898325482
3600,943718400,3.0518040657043457,3.0420711040496826,-0.009732961654663086,3.0520346760749817,3.0474481844902037,3.003736298531294,2.9968579411506653,-0.006878357380628586,20.16072285637407,20.022526027964755,-0.13819682840931335
3700,969932800,3.0722131729125977,3.067166328430176,-0.005046844482421875,3.028918924331665,3.0245043873786925,2.998567920178175,2.9939796812832355,-0.004588238894939423,20.056793417459122,19.964978852445338,-0.09181456501378449
3800,996147200,3.048757553100586,3.0448694229125977,-0.0038881301879882812,3.0984682488441466,3.094847176074982,2.968225196003914,2.9623544476926327,-0.005870748311281204,19.457355940170718,19.34346135099756,-0.11389458917315665
3900,1022361600,3.105130195617676,3.0993947982788086,-0.0057353973388671875,3.0962563037872313,3.092277076244354,2.9498182609677315,2.944143909960985,-0.005674351006746292,19.102481746197395,18.994394512140445,-0.1080872340569492
4000,1048576000,3.0169992446899414,3.0109658241271973,-0.006033420562744141,3.0925364542007445,3.088511779308319,2.9449737779796124,2.9396272376179695,-0.0053465403616428375,19.010163895027517,18.908796510357668,-0.10136738466984951
4100,1074790400,3.131047248840332,3.12790846824646,-0.0031387805938720703,3.0980085802078245,3.0942858028411866,2.941907651722431,2.9367828257381916,-0.005124825984239578,18.951965599610645,18.855088524958326,-0.0968770746523191
4200,1101004800,3.050820827484131,3.0469417572021484,-0.003879070281982422,3.074126443862915,3.070055522918701,2.9392531365156174,2.9358142726123333,-0.003438863903284073,18.9017240317325,18.83683521110818,-0.06488882062431856
4300,1127219200,3.009416103363037,3.003173351287842,-0.0062427520751953125,3.0578300380706787,3.054304549694061,2.938128598034382,2.9358401112258434,-0.002288486808538437,18.880480262653744,18.837321935101063,-0.0431583275526819
4400,1153433600,2.943135976791382,2.939389228820801,-0.0037467479705810547,3.039791913032532,3.0361412262916563,2.941695671528578,2.9362155124545097,-0.0054801590740680695,18.947948584047847,18.844394816401387,-0.10355376764645996
4500,1179648000,2.9308791160583496,2.928978443145752,-0.0019006729125976562,2.983922071456909,2.980686764717102,2.941868055611849,2.937725506722927,-0.004142548888921738,18.951215190341753,18.87287123877251,-0.07834395156924145
4600,1205862400,2.9895787239074707,2.982022523880005,-0.00755620002746582,2.9820987796783447,2.978773760795593,2.9362117871642113,2.931032419204712,-0.005179367959499359,18.844324615690955,18.746975246283654,-0.09734936940730066
4700,1232076800,2.9863176345825195,2.9795336723327637,-0.006783962249755859,3.019557926654816,3.016319012641907,2.910989675670862,2.9035754464566708,-0.007414229214191437,18.374974836777028,18.239242359158876,-0.1357324776181521
4800,1258291200,3.0008225440979004,3.0014352798461914,0.0006127357482910156,3.010492568016052,3.007244732379913,2.8968201503157616,2.8894214034080505,-0.007398746907711029,18.116446105140984,17.98290174520243,-0.13354435993855418
4900,1284505600,3.024815797805786,3.0209920406341553,-0.0038237571716308594,3.037296235561371,3.034436204433441,2.8956905528903008,2.8875188939273357,-0.008171658962965012,18.095993368116453,17.948721628449203,-0.14727173966725005
5000,1310720000,3.032268524169922,3.0293960571289062,-0.002872467041015625,3.0544525527954103,3.051447808742523,2.8904394283890724,2.8848406299948692,-0.005598798394203186,18.001218110086928,17.90071453121299,-0.10050357887393702
5100,1336934400,3.0996453762054443,3.0954349040985107,-0.004210472106933594,3.035851442813873,3.03319137096405,2.8957399241626263,2.8909701704978943,-0.004769753664731979,18.09688681238809,18.010774650352875,-0.08611216203521366
5200,1363148800,3.0404434204101562,3.038693428039551,-0.0017499923706054688,3.0238596630096435,3.0210503339767456,2.8897483460605145,2.883978769183159,-0.0057695768773555756,17.988782084012406,17.885293253309055,-0.10348883070335191
5300,1389363200,2.8605573177337646,2.8564038276672363,-0.00415349006652832,2.996797285079956,2.9939849877357485,2.8898239992558956,2.8852069973945618,-0.004617001861333847,17.990143044337927,17.9072739709575,-0.08286907338042582
5400,1415577600,2.9116742610931396,2.9110183715820312,-0.0006558895111083984,2.938799350261688,2.9356128549575806,2.8948471136391163,2.8899616301059723,-0.004885483533143997,18.080736931863633,17.99261921341284,-0.08811771845079264
5500,1441792000,2.8736772537231445,2.8708252906799316,-0.0028519630432128906,2.9278290677070617,2.9249886798858644,2.8906688168644905,2.8861693888902664,-0.004499427974224091,18.005347855704787,17.924516074634578,-0.08083178107020927
