task,run_name,label,activation,optimizer,seed,step,tokens,gpu_hours_approx,loss,lr,seconds_per_step,grad_clip_triggered,grad_global_norm_before_clip
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,520,17039360,0.5172346240534292,5.554164791107178,9.045702283639978e-05,0.8952137724001659,False,0.7573411464691162
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,530,17367040,0.5292433497981498,5.536517238616943,8.988041361153997e-05,0.898715122298745,False,0.7280157804489136
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,540,17694720,0.5395439939390053,5.541940975189209,8.928981800940574e-05,0.8992399898983422,False,0.6777740716934204
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,550,18022400,0.5480994857565545,5.499308729171753,8.868556802981982e-05,0.8968900676016347,False,0.7232075333595276
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,560,18350080,0.5581525133934337,5.492625427246094,8.80680033483324e-05,0.8970308250965899,False,0.7774950861930847
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,570,18677760,0.5674949051648339,5.473438024520874,8.743747112527456e-05,0.8960445871023694,False,0.8121668696403503
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,580,19005440,0.5810933897729329,5.492473316192627,8.67943258106041e-05,0.901696639302827,False,0.7321869134902954
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,590,19333120,0.5862297668569955,5.464339971542358,8.61389289446537e-05,0.8942487969005015,False,0.7217528820037842
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,600,19660800,0.5978705408012804,5.453520727157593,8.547164895489302e-05,0.8968058112019207,False,0.6640010476112366
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,610,19988480,0.6082306823245663,5.403953218460083,8.479286094881948e-05,0.8973895312985405,False,0.8146955370903015
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,620,20316160,0.6173868904764014,5.429294300079346,8.410294650309375e-05,0.896206776498002,False,0.697215735912323
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,630,20643840,0.6295283156406367,5.385492324829102,8.340229344903875e-05,0.8993261652009096,False,0.7678008675575256
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,640,20971520,0.6391402424871921,5.379582738876342,8.269129565462243e-05,0.898790965997614,False,0.7231335043907166
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,650,21299200,0.645746598682874,5.357264852523803,8.197035280304747e-05,0.894110675099364,False,0.7684037685394287
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,660,21626880,0.6519777817691405,5.39488377571106,8.12398701680714e-05,0.8890606115033733,False,0.6896423697471619
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,670,21954560,0.6608884874626043,5.390764665603638,8.050025838618467e-05,0.8877606548005132,False,0.7386247515678406
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,680,22282240,0.671642873817602,5.3470460891723635,7.975193322577358e-05,0.8889390976997674,False,0.6801276206970215
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,690,22609920,0.6825191530151642,5.326096773147583,7.899531535339863e-05,0.8902423734980403,False,0.6733281016349792
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,700,22937600,0.6915047867792762,5.335833930969239,7.823083009731924e-05,0.8890775830019265,False,0.7139400839805603
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,710,23265280,0.7024158061102692,5.32145471572876,7.745890720839805e-05,0.8903862330975244,False,0.6731043457984924
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,720,23592960,0.7110655067989137,5.3348020076751705,7.667998061851898e-05,0.8888318834986422,False,0.6788957118988037
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,730,23920640,0.7219193723084593,5.273200941085816,7.5894488196655e-05,0.8900375822981005,False,0.7699174284934998
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,740,24248320,0.731986109318548,5.321451854705811,7.510287150272269e-05,0.8902533761982341,False,0.7354681491851807
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,750,24576000,0.7402979801687858,5.288917541503906,7.43055755393619e-05,0.888357576202543,False,0.7088086605072021
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,760,24903680,0.752011749270799,5.279747438430786,7.350304850178019e-05,0.8905402293996303,False,0.6763656139373779
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,770,25231360,0.7604454184651938,5.275389957427978,7.269574152580255e-05,0.8888323072969797,False,0.6821650266647339
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,780,25559040,0.7708282694659041,5.264547729492188,7.188410843426804e-05,0.8894172339991201,False,0.7097387313842773
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,790,25886720,0.7812299701934454,5.2512171268463135,7.106860548191599e-05,0.8900088268026594,False,0.6892660856246948
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,800,26214400,0.7900913255108106,5.2782065868377686,7.024969109890507e-05,0.888852741199662,False,0.6634761095046997
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,810,26542080,0.8001762300002155,5.235826873779297,6.942782563310953e-05,0.8890847000002395,False,0.7185696959495544
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,820,26869760,0.8105321312121749,5.236908626556397,6.860347109133732e-05,0.8896084366962895,False,0.7481261491775513
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,830,27197440,0.8199846180638026,5.206460905075073,6.777709087961573e-05,0.8891399472980993,False,0.6756719946861267
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,840,27525120,0.8289732022119763,5.225470066070557,6.694914954269044e-05,0.8881855737985461,False,0.6685386896133423
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,850,27852800,0.8404829389226507,5.2102423191070555,6.612011250288442e-05,0.8899231118004536,False,0.6512704491615295
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,860,28180480,0.8602082063853675,5.20964412689209,6.52904457984635e-05,0.9002178904032917,False,0.6915887594223022
dclm,dclm_adamw_lr0.0001_wd0.03_phase1_protocol_lock,RLB+AdamW lr=0.0001 wd=0.03,rlb_fused_fixed_strong_ffn,adamw,1337,870,28508160,0.8671156465631308,5.170118045806885,6.446061582165576e-05,0.8970161860997905,False,0.6688433289527893
