task,seed,method,step,loss,lr,seconds_per_step
fineweb,1337,SiLU+AdamW,2000,4.533813,0.000111,0.622458
fineweb,1337,SiLU+AdamW,2010,4.545358,0.000110,0.623593
fineweb,1337,SiLU+AdamW,2020,4.551912,0.000108,0.622871
fineweb,1337,SiLU+AdamW,2030,4.539336,0.000107,0.623930
fineweb,1337,SiLU+AdamW,2040,4.548482,0.000106,0.621722
fineweb,1337,SiLU+AdamW,2050,4.547692,0.000104,0.620178
fineweb,1337,SiLU+AdamW,2060,4.512645,0.000103,0.621372
fineweb,1337,SiLU+AdamW,2070,4.524394,0.000102,0.623934
fineweb,1337,SiLU+AdamW,2080,4.520888,0.000100,0.625281
fineweb,1337,SiLU+AdamW,2090,4.519704,0.000099,0.626646
fineweb,1337,SiLU+AdamW,2100,4.527079,0.000098,0.625839
fineweb,1337,SiLU+AdamW,2110,4.510869,0.000096,0.625312
fineweb,1337,SiLU+AdamW,2120,4.494578,0.000095,0.622395
fineweb,1337,SiLU+AdamW,2130,4.515166,0.000094,0.619289
fineweb,1337,SiLU+AdamW,2140,4.534541,0.000093,0.616417
fineweb,1337,SiLU+AdamW,2150,4.510829,0.000091,0.617420
fineweb,1337,SiLU+AdamW,2160,4.517543,0.000090,0.616746
fineweb,1337,SiLU+AdamW,2170,4.498743,0.000089,0.617345
fineweb,1337,SiLU+AdamW,2180,4.564895,0.000088,0.619837
fineweb,1337,SiLU+AdamW,2190,4.508524,0.000086,0.624386
fineweb,1337,SiLU+AdamW,2200,4.506630,0.000085,0.620381
fineweb,1337,SiLU+AdamW,2210,4.494721,0.000084,0.621778
fineweb,1337,SiLU+AdamW,2220,4.477191,0.000083,0.622769
fineweb,1337,SiLU+AdamW,2230,4.518731,0.000082,0.621710
fineweb,1337,SiLU+AdamW,2240,4.493149,0.000080,0.620230
fineweb,1337,SiLU+AdamW,2250,4.486043,0.000079,0.621456
fineweb,1337,SiLU+AdamW,2260,4.493928,0.000078,0.623261
fineweb,1337,SiLU+AdamW,2270,4.482170,0.000077,0.622201
fineweb,1337,SiLU+AdamW,2280,4.505322,0.000076,0.620345
fineweb,1337,SiLU+AdamW,2290,4.466740,0.000075,0.618608
fineweb,1337,SiLU+AdamW,2300,4.474746,0.000074,0.619687
fineweb,1337,SiLU+AdamW,2310,4.471378,0.000073,0.620487
fineweb,1337,SiLU+AdamW,2320,4.469245,0.000072,0.618980
fineweb,1337,SiLU+AdamW,2330,4.479779,0.000070,0.621963
fineweb,1337,SiLU+AdamW,2340,4.486914,0.000069,0.622534
fineweb,1337,SiLU+AdamW,2350,4.484066,0.000068,0.623466
fineweb,1337,SiLU+AdamW,2360,4.461889,0.000067,0.619740
fineweb,1337,SiLU+AdamW,2370,4.480756,0.000066,0.618814
fineweb,1337,SiLU+AdamW,2380,4.478622,0.000065,0.622371
fineweb,1337,SiLU+AdamW,2390,4.469062,0.000064,0.619228
fineweb,1337,SiLU+AdamW,2400,4.443966,0.000063,0.617543
fineweb,1337,SiLU+AdamW,2410,4.466437,0.000062,0.618301
fineweb,1337,SiLU+AdamW,2420,4.440897,0.000061,0.621328
fineweb,1337,SiLU+AdamW,2430,4.448756,0.000060,0.622256
fineweb,1337,SiLU+AdamW,2440,4.451995,0.000059,0.620730
fineweb,1337,SiLU+AdamW,2450,4.448635,0.000059,0.619138
fineweb,1337,SiLU+AdamW,2460,4.448696,0.000058,0.619519
fineweb,1337,SiLU+AdamW,2470,4.450129,0.000057,0.621388
fineweb,1337,SiLU+AdamW,2480,4.454206,0.000056,0.619053
fineweb,1337,SiLU+AdamW,2490,4.449119,0.000055,0.619072
fineweb,1337,SiLU+AdamW,2500,4.415711,0.000054,0.623306
fineweb,1337,SiLU+AdamW,2510,4.442762,0.000053,0.623616
fineweb,1337,SiLU+AdamW,2520,4.462507,0.000052,0.623339
fineweb,1337,SiLU+AdamW,2530,4.451435,0.000052,0.623545
fineweb,1337,SiLU+AdamW,2540,4.414714,0.000051,0.621836
fineweb,1337,SiLU+AdamW,2550,4.444049,0.000050,0.618598
fineweb,1337,SiLU+AdamW,2560,4.451309,0.000049,0.617556
fineweb,1337,SiLU+AdamW,2570,4.448331,0.000049,0.617565
fineweb,1337,SiLU+AdamW,2580,4.453926,0.000048,0.622249
fineweb,1337,SiLU+AdamW,2590,4.440193,0.000047,0.622478
fineweb,1337,SiLU+AdamW,2600,4.434758,0.000046,0.624892
fineweb,1337,SiLU+AdamW,2610,4.400573,0.000046,0.619741
fineweb,1337,SiLU+AdamW,2620,4.431514,0.000045,0.621131
fineweb,1337,SiLU+AdamW,2630,4.401068,0.000044,0.622466
fineweb,1337,SiLU+AdamW,2640,4.419341,0.000044,0.617424
fineweb,1337,SiLU+AdamW,2650,4.414118,0.000043,0.620307
fineweb,1337,SiLU+AdamW,2660,4.405194,0.000042,0.619815
fineweb,1337,SiLU+AdamW,2670,4.423924,0.000042,0.621306
fineweb,1337,SiLU+AdamW,2680,4.395202,0.000041,0.622198
fineweb,1337,SiLU+AdamW,2690,4.415962,0.000041,0.621740
fineweb,1337,SiLU+AdamW,2700,4.421600,0.000040,0.616706
fineweb,1337,SiLU+AdamW,2710,4.413719,0.000039,0.616274
fineweb,1337,SiLU+AdamW,2720,4.408807,0.000039,0.616933
fineweb,1337,SiLU+AdamW,2730,4.409147,0.000038,0.617775
fineweb,1337,SiLU+AdamW,2740,4.406673,0.000038,0.620253
fineweb,1337,SiLU+AdamW,2750,4.419300,0.000037,0.623500
fineweb,1337,SiLU+AdamW,2760,4.408552,0.000037,0.627350
fineweb,1337,SiLU+AdamW,2770,4.418148,0.000036,0.622540
fineweb,1337,SiLU+AdamW,2780,4.415426,0.000036,0.623544
fineweb,1337,SiLU+AdamW,2790,4.411127,0.000036,0.619890
fineweb,1337,SiLU+AdamW,2800,4.419127,0.000035,0.621130
fineweb,1337,SiLU+AdamW,2810,4.413101,0.000035,0.621556
fineweb,1337,SiLU+AdamW,2820,4.422609,0.000034,0.623256
fineweb,1337,SiLU+AdamW,2830,4.388334,0.000034,0.622538
fineweb,1337,SiLU+AdamW,2840,4.403831,0.000034,0.623802
fineweb,1337,SiLU+AdamW,2850,4.407930,0.000033,0.622891
fineweb,1337,SiLU+AdamW,2860,4.401011,0.000033,0.619711
fineweb,1337,SiLU+AdamW,2870,4.398708,0.000033,0.618270
fineweb,1337,SiLU+AdamW,2880,4.406291,0.000032,0.618275
fineweb,1337,SiLU+AdamW,2890,4.386477,0.000032,0.617377
fineweb,1337,SiLU+AdamW,2900,4.388772,0.000032,0.621512
fineweb,1337,SiLU+AdamW,2910,4.421510,0.000032,0.622241
fineweb,1337,SiLU+AdamW,2920,4.405242,0.000031,0.624698
fineweb,1337,SiLU+AdamW,2930,4.364818,0.000031,0.620739
fineweb,1337,SiLU+AdamW,2940,4.421272,0.000031,0.619216
fineweb,1337,SiLU+AdamW,2950,4.376060,0.000031,0.618382
fineweb,1337,SiLU+AdamW,2960,4.414794,0.000031,0.617681
fineweb,1337,SiLU+AdamW,2970,4.397051,0.000031,0.620322
fineweb,1337,SiLU+AdamW,2980,4.370608,0.000030,0.620265
fineweb,1337,SiLU+AdamW,2990,4.399364,0.000030,0.623685
fineweb,1337,SiLU+AdamW,3000,4.414333,0.000030,0.622317
fineweb,1337,SiLU+AdamW,3010,4.373806,0.000030,0.624170
fineweb,1337,SiLU+AdamW,3020,4.385227,0.000030,0.622325
fineweb,1337,SiLU+AdamW,3030,4.412781,0.000030,0.621103
fineweb,1337,SiLU+AdamW,3040,4.404860,0.000030,0.621804
fineweb,1337,SiLU+AdamW,3050,4.396997,0.000030,0.621703
fineweb,1337,RLB+AdamW,1,10.991343,0.000001,2.762839
fineweb,1337,RLB+AdamW,10,10.670545,0.000015,1.631785
fineweb,1337,RLB+AdamW,20,9.886748,0.000030,1.509908
fineweb,1337,RLB+AdamW,30,9.486928,0.000045,1.510551
fineweb,1337,RLB+AdamW,40,9.163487,0.000060,1.509394
fineweb,1337,RLB+AdamW,50,8.720145,0.000075,1.509624
fineweb,1337,RLB+AdamW,60,8.247738,0.000090,1.508873
fineweb,1337,RLB+AdamW,70,7.819450,0.000105,1.514833
fineweb,1337,RLB+AdamW,80,7.540086,0.000120,1.508139
fineweb,1337,RLB+AdamW,90,7.397635,0.000135,1.508820
fineweb,1337,RLB+AdamW,100,7.287866,0.000150,1.508458
fineweb,1337,RLB+AdamW,110,7.134555,0.000165,1.505888
fineweb,1337,RLB+AdamW,120,7.047230,0.000180,1.504938
fineweb,1337,RLB+AdamW,130,6.931792,0.000195,1.509586
fineweb,1337,RLB+AdamW,140,6.821483,0.000210,1.505889
fineweb,1337,RLB+AdamW,150,6.718450,0.000225,1.504161
fineweb,1337,RLB+AdamW,160,6.648216,0.000240,1.506402
fineweb,1337,RLB+AdamW,170,6.540028,0.000255,1.507326
fineweb,1337,RLB+AdamW,180,6.524426,0.000270,1.505743
fineweb,1337,RLB+AdamW,190,6.440997,0.000285,1.506809
fineweb,1337,RLB+AdamW,200,6.384346,0.000300,1.504561
fineweb,1337,RLB+AdamW,210,6.311198,0.000300,1.504783
fineweb,1337,RLB+AdamW,220,6.264139,0.000300,1.505468
fineweb,1337,RLB+AdamW,230,6.227627,0.000300,1.506175
fineweb,1337,RLB+AdamW,240,6.202446,0.000300,1.502789
