budget_tokens,dataset,seed,method,final_val_loss,final_val_ppl,total_minutes,mean_seconds_per_step,tokens_per_second,slurm_job_id,slurm_restart_count,slurm_node,jsonl
100000000,dclm,3407,role_depth_v3,4.267403,71.336,24.324,0.453289,72289.382,707329,1,badfellow,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/dclm/E1_matrixpolicy_ablation_role_depth_v3_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,dclm,3407,role_depth_v4,4.255749,70.510,21.515,0.399574,82007.317,707588,0,zabih-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/dclm/E1_matrixpolicy_ablation_role_depth_v4_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,dclm,3407,role_depth_v5,4.254425,70.416,21.172,0.391297,83742.084,749316,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/dclm/E1_matrixpolicy_ablation_role_depth_v5_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,dclm,3407,role_depth_v6,4.258430,70.699,22.838,0.425888,76940.348,749331,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/dclm/E1_matrixpolicy_ablation_role_depth_v6_100m_dclm_m0_100m_seed3407_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,dolma_sample,1337,full,4.320515,75.227,24.401,0.455278,71973.566,,,,experiments/runs/iclr26_main/E1_rational_only_100m/dolma_sample/E1_rational_only_100m_dolma_sample_m0_100m_seed1337_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,dolma_sample,1337,no_role_depth,4.332900,76.165,20.303,0.375447,87277.322,572265,0,seo-compute-01,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dolma_sample/E1_matrixpolicy_ablation_no_role_depth_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,dolma_sample,1337,role_depth_v2,4.316649,74.937,20.886,0.387443,84575.044,680016,0,seo-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v2_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,dolma_sample,1337,role_depth_v3,4.331314,76.044,21.076,0.390227,83971.707,707545,0,zabih-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v3_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,dolma_sample,1337,role_depth_v4,4.321208,75.280,24.710,0.461454,71010.347,707595,0,badfellow,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v4_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
100000000,dolma_sample,1337,role_depth_v5,4.318536,75.079,21.740,0.404112,81086.432,749368,0,elor-compute-01,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v5_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v5_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v5/rlb_fused_global_rational.jsonl
100000000,dolma_sample,1337,role_depth_v6,4.322700,75.392,24.219,0.451935,72506.020,749338,0,rush-compute-02,abalation/runs/role_depth_v5_v6_e1_e2/E1_matrixpolicy_ablation_role_depth_v6_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v6_100m_dolma_sample_m0_100m_seed1337_rlb_matrixpolicy_role_depth_v6/rlb_fused_global_rational.jsonl
100000000,dolma_sample,2027,full,4.331018,76.022,22.439,0.416031,78763.389,,,,experiments/runs/iclr26_main/E1_rational_only_100m/dolma_sample/E1_rational_only_100m_dolma_sample_m0_100m_seed2027_rlb_rational_only_matrixpolicy/rlb_fused_global_rational.jsonl
100000000,dolma_sample,2027,no_role_depth,4.342288,76.883,26.119,0.487734,67184.168,572266,0,ellis-compute-02,abalation/runs/matrixpolicy_ablation_e1_e2/E1_matrixpolicy_ablation_no_role_depth_100m/dolma_sample/E1_matrixpolicy_ablation_no_role_depth_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_no_role_depth/rlb_fused_global_rational.jsonl
100000000,dolma_sample,2027,role_depth_v2,4.326041,75.644,20.741,0.383953,85343.832,680135,0,elor-compute-01,abalation/runs/role_depth_v2_e1_e2/E1_matrixpolicy_ablation_role_depth_v2_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v2_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v2/rlb_fused_global_rational.jsonl
100000000,dolma_sample,2027,role_depth_v3,4.342515,76.901,24.197,0.448792,73013.757,707581,0,damle-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v3_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v3_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v3/rlb_fused_global_rational.jsonl
100000000,dolma_sample,2027,role_depth_v4,4.331238,76.038,21.620,0.400771,81762.389,707596,0,zabih-compute-01,abalation/runs/role_depth_v3_v4_e1_e2/E1_matrixpolicy_ablation_role_depth_v4_100m/dolma_sample/E1_matrixpolicy_ablation_role_depth_v4_100m_dolma_sample_m0_100m_seed2027_rlb_matrixpolicy_role_depth_v4/rlb_fused_global_rational.jsonl
