budget_tokens,dataset,seed,method,target_loss,first_hit_step,first_hit_tokens,first_hit_ppl,hit_status,target_hit_minutes,total_minutes,mean_seconds_per_step,tokens_per_second,final_val_loss,slurm_job_id,slurm_restart_count,slurm_node
100000000,dclm,2027,no_role_depth,4.45,1850,60620800,85.364,hit,11.595,20.335,0.376038,87140.127,4.273677,572244,0,abdelfattah-compute-03
100000000,dclm,2027,no_role_depth,4.35,2300,75366400,77.449,hit,14.415,20.335,0.376038,87140.127,4.273677,572244,0,abdelfattah-compute-03
100000000,dclm,2027,no_role_depth,4.30,2700,88473600,73.626,hit,16.922,20.335,0.376038,87140.127,4.273677,572244,0,abdelfattah-compute-03
100000000,dclm,2027,role_depth_v2,4.90,900,29491200,132.049,hit,6.658,23.944,0.443879,73821.839,4.258640,676424,0,rush-compute-02
100000000,dclm,2027,role_depth_v2,4.70,1200,39321600,108.998,hit,8.878,23.944,0.443879,73821.839,4.258640,676424,0,rush-compute-02
100000000,dclm,2027,role_depth_v2,4.55,1550,50790400,93.152,hit,11.467,23.944,0.443879,73821.839,4.258640,676424,0,rush-compute-02
100000000,dclm,2027,role_depth_v2,4.45,1850,60620800,84.436,hit,13.686,23.944,0.443879,73821.839,4.258640,676424,0,rush-compute-02
100000000,dclm,2027,role_depth_v2,4.35,2250,73728000,77.225,hit,16.645,23.944,0.443879,73821.839,4.258640,676424,0,rush-compute-02
100000000,dclm,2027,role_depth_v2,4.30,2600,85196800,73.417,hit,19.235,23.944,0.443879,73821.839,4.258640,676424,0,rush-compute-02
100000000,dclm,2027,role_depth_v3,4.90,900,29491200,133.934,hit,5.616,20.293,0.374387,87524.438,4.270991,707328,0,elor-compute-01
100000000,dclm,2027,role_depth_v3,4.70,1200,39321600,109.754,hit,7.488,20.293,0.374387,87524.438,4.270991,707328,0,elor-compute-01
100000000,dclm,2027,role_depth_v3,4.55,1550,50790400,94.170,hit,9.672,20.293,0.374387,87524.438,4.270991,707328,0,elor-compute-01
100000000,dclm,2027,role_depth_v3,4.45,1850,60620800,85.121,hit,11.544,20.293,0.374387,87524.438,4.270991,707328,0,elor-compute-01
100000000,dclm,2027,role_depth_v3,4.35,2300,75366400,77.205,hit,14.351,20.293,0.374387,87524.438,4.270991,707328,0,elor-compute-01
100000000,dclm,2027,role_depth_v3,4.30,2700,88473600,73.475,hit,16.847,20.293,0.374387,87524.438,4.270991,707328,0,elor-compute-01
100000000,dclm,2027,role_depth_v4,4.90,900,29491200,132.955,hit,5.785,20.822,0.385693,84958.833,4.262203,707587,0,elor-compute-01
100000000,dclm,2027,role_depth_v4,4.70,1200,39321600,108.421,hit,7.714,20.822,0.385693,84958.833,4.262203,707587,0,elor-compute-01
100000000,dclm,2027,role_depth_v4,4.55,1500,49152000,94.627,hit,9.642,20.822,0.385693,84958.833,4.262203,707587,0,elor-compute-01
100000000,dclm,2027,role_depth_v4,4.45,1850,60620800,84.524,hit,11.892,20.822,0.385693,84958.833,4.262203,707587,0,elor-compute-01
100000000,dclm,2027,role_depth_v4,4.35,2250,73728000,77.434,hit,14.463,20.822,0.385693,84958.833,4.262203,707587,0,elor-compute-01
100000000,dclm,2027,role_depth_v4,4.30,2600,85196800,73.653,hit,16.713,20.822,0.385693,84958.833,4.262203,707587,0,elor-compute-01
