budget_tokens,dataset,seed,target_loss,comparator,full_tokens,comparator_tokens,full_saves_tokens,full_saves_percent_vs_comparator,full_total_minutes,comparator_total_minutes
100000000,fineweb_edu,1337,4.20,role_depth_v4,72089600,72089600,0,0.0,27.678,25.070
100000000,fineweb_edu,1337,4.20,role_depth_v5,72089600,72089600,0,0.0,27.678,24.928
100000000,fineweb_edu,1337,4.20,role_depth_v6,72089600,72089600,0,0.0,27.678,25.132
100000000,fineweb_edu,1337,4.10,role_depth_v2,96665600,95027200,-1638400,-0.017241379310344827,27.678,20.881
100000000,fineweb_edu,1337,4.10,role_depth_v4,96665600,96665600,0,0.0,27.678,25.070
100000000,fineweb_edu,1337,4.10,role_depth_v5,96665600,95027200,-1638400,-0.017241379310344827,27.678,24.928
100000000,fineweb_edu,1337,4.10,role_depth_v6,96665600,96665600,0,0.0,27.678,25.132
100000000,fineweb_edu,2027,4.80,no_role_depth,29491200,31129600,1638400,0.05263157894736842,22.464,22.669
100000000,fineweb_edu,2027,4.80,role_depth_v2,29491200,29491200,0,0.0,22.464,20.727
100000000,fineweb_edu,2027,4.80,role_depth_v3,29491200,31129600,1638400,0.05263157894736842,22.464,24.433
100000000,fineweb_edu,2027,4.80,role_depth_v4,29491200,29491200,0,0.0,22.464,20.723
100000000,fineweb_edu,2027,4.80,role_depth_v5,29491200,29491200,0,0.0,22.464,24.717
100000000,fineweb_edu,2027,4.80,role_depth_v6,29491200,29491200,0,0.0,22.464,26.592
100000000,fineweb_edu,2027,4.60,no_role_depth,37683200,37683200,0,0.0,22.464,22.669
100000000,fineweb_edu,2027,4.60,role_depth_v2,37683200,37683200,0,0.0,22.464,20.727
100000000,fineweb_edu,2027,4.60,role_depth_v3,37683200,39321600,1638400,0.041666666666666664,22.464,24.433
100000000,fineweb_edu,2027,4.60,role_depth_v4,37683200,37683200,0,0.0,22.464,20.723
100000000,fineweb_edu,2027,4.60,role_depth_v5,37683200,37683200,0,0.0,22.464,24.717
100000000,fineweb_edu,2027,4.60,role_depth_v6,37683200,37683200,0,0.0,22.464,26.592
100000000,fineweb_edu,2027,4.40,no_role_depth,49152000,49152000,0,0.0,22.464,22.669
100000000,fineweb_edu,2027,4.40,role_depth_v2,49152000,49152000,0,0.0,22.464,20.727
100000000,fineweb_edu,2027,4.40,role_depth_v3,49152000,50790400,1638400,0.03225806451612903,22.464,24.433
100000000,fineweb_edu,2027,4.40,role_depth_v4,49152000,49152000,0,0.0,22.464,20.723
100000000,fineweb_edu,2027,4.40,role_depth_v5,49152000,49152000,0,0.0,22.464,24.717
100000000,fineweb_edu,2027,4.40,role_depth_v6,49152000,49152000,0,0.0,22.464,26.592
100000000,fineweb_edu,2027,4.30,no_role_depth,57344000,58982400,1638400,0.027777777777777776,22.464,22.669
100000000,fineweb_edu,2027,4.30,role_depth_v2,57344000,57344000,0,0.0,22.464,20.727
100000000,fineweb_edu,2027,4.30,role_depth_v3,57344000,58982400,1638400,0.027777777777777776,22.464,24.433
100000000,fineweb_edu,2027,4.30,role_depth_v4,57344000,57344000,0,0.0,22.464,20.723
100000000,fineweb_edu,2027,4.30,role_depth_v5,57344000,57344000,0,0.0,22.464,24.717
100000000,fineweb_edu,2027,4.30,role_depth_v6,57344000,57344000,0,0.0,22.464,26.592
100000000,fineweb_edu,2027,4.20,no_role_depth,70451200,72089600,1638400,0.022727272727272728,22.464,22.669
100000000,fineweb_edu,2027,4.20,role_depth_v2,70451200,70451200,0,0.0,22.464,20.727
100000000,fineweb_edu,2027,4.20,role_depth_v3,70451200,72089600,1638400,0.022727272727272728,22.464,24.433
100000000,fineweb_edu,2027,4.20,role_depth_v4,70451200,70451200,0,0.0,22.464,20.723
100000000,fineweb_edu,2027,4.20,role_depth_v5,70451200,70451200,0,0.0,22.464,24.717
100000000,fineweb_edu,2027,4.20,role_depth_v6,70451200,70451200,0,0.0,22.464,26.592
100000000,fineweb_edu,2027,4.10,no_role_depth,90112000,93388800,3276800,0.03508771929824561,22.464,22.669
100000000,fineweb_edu,2027,4.10,role_depth_v2,90112000,90112000,0,0.0,22.464,20.727
100000000,fineweb_edu,2027,4.10,role_depth_v3,90112000,95027200,4915200,0.05172413793103448,22.464,24.433
100000000,fineweb_edu,2027,4.10,role_depth_v4,90112000,90112000,0,0.0,22.464,20.723
100000000,fineweb_edu,2027,4.10,role_depth_v5,90112000,90112000,0,0.0,22.464,24.717
100000000,fineweb_edu,2027,4.10,role_depth_v6,90112000,90112000,0,0.0,22.464,26.592
100000000,fineweb_edu,3407,4.80,no_role_depth,29491200,31129600,1638400,0.05263157894736842,27.774,23.456
100000000,fineweb_edu,3407,4.80,role_depth_v2,29491200,29491200,0,0.0,27.774,22.090
100000000,fineweb_edu,3407,4.80,role_depth_v3,29491200,31129600,1638400,0.05263157894736842,27.774,25.216
100000000,fineweb_edu,3407,4.80,role_depth_v4,29491200,29491200,0,0.0,27.774,21.469
100000000,fineweb_edu,3407,4.80,role_depth_v5,29491200,29491200,0,0.0,27.774,26.409
100000000,fineweb_edu,3407,4.80,role_depth_v6,29491200,29491200,0,0.0,27.774,23.912
100000000,fineweb_edu,3407,4.60,no_role_depth,37683200,39321600,1638400,0.041666666666666664,27.774,23.456
100000000,fineweb_edu,3407,4.60,role_depth_v2,37683200,37683200,0,0.0,27.774,22.090
100000000,fineweb_edu,3407,4.60,role_depth_v3,37683200,39321600,1638400,0.041666666666666664,27.774,25.216
100000000,fineweb_edu,3407,4.60,role_depth_v4,37683200,37683200,0,0.0,27.774,21.469
100000000,fineweb_edu,3407,4.60,role_depth_v5,37683200,37683200,0,0.0,27.774,26.409
100000000,fineweb_edu,3407,4.60,role_depth_v6,37683200,37683200,0,0.0,27.774,23.912
