scope,phase,dataset,method,method_label,activation,optimizer,runs,early_stop_runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb,rlb_came,RLB+CAME,rlb_fused_global_rational,adafactor_came,3,0,3050,100000000,1580.8399049410364,6.48574894520256,1576.783694094047,1588.3201021240093,26.347331749017272,0.43912219581695455,0.4907900371400412,66766.74572360859
E1_m0_100m_all_datasets,E1_m0_100m,fineweb,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,3,0,3050,100000000,1470.8143683170783,316.972090529618,1105.2456574239768,1669.121107172221,24.51357280528464,0.408559546754744,0.4648250053132136,73292.55114262723
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_global_rational,schedule_free_adamw,3,0,3050,100000000,1493.07047056333,33.07716881361451,1462.391339390073,1528.112631906988,24.884507842722165,0.41474179737870276,0.4617493606752476,70987.57933903711
E1_m0_100m_all_datasets,E1_rational_only_100m,fineweb_edu,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_global_rational,rational_matrix_policy_onpolicy,3,0,3050,100000000,1558.31912646334,182.31376219618417,1347.8280033459887,1666.4669634610182,25.971985441055665,0.4328664240175944,0.4838624575785649,68439.27385768648
E1_m0_100m_all_datasets,E1_m0_100m,fineweb_edu,silu_adamw,SiLU+AdamW,silu,adamw,3,0,3050,100000000,1971.54387423367,46.075224636359636,1943.274986881006,2024.7113658459857,32.859064570561166,0.5476510761760195,0.6285369421914883,52150.77017691225
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb_edu,rlb_adamw,RLB+AdamW,rlb_fused_global_rational,adamw,3,0,3050,100000000,1371.570894988409,104.90322308177478,1264.9768779561855,1474.6973412160296,22.859514916473483,0.38099191527455806,0.4228800381993983,77822.55891700047
E1_m0_100m_all_datasets,E1_m0_100m,fineweb_edu,silu_muon,SiLU+Muon,silu,muon,3,0,3050,100000000,2073.633942141993,28.92425064603418,2055.9367445280077,2107.0125057449914,34.56056570236655,0.5760094283727758,0.6618917400705168,49511.90363228976
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb_edu,rlb_muon,RLB+Muon,rlb_fused_global_rational,muon,3,0,3050,100000000,1533.298013262994,49.947655980221896,1477.7925655499566,1574.6200883770362,25.554966887716564,0.4259161147952761,0.473998053653049,69181.0794289486
E1_m0_100m_all_datasets,E1_m0_100m,fineweb_edu,silu_lion,SiLU+Lion,silu,lion,3,0,3050,100000000,2095.366792498981,268.9172702268946,1939.446575487993,2405.884770515957,34.922779874983014,0.5820463312497169,0.6681949950469339,49554.4688033775
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb_edu,rlb_lion,RLB+Lion,rlb_fused_global_rational,lion,3,0,3050,100000000,1394.7095064336124,78.6373971905363,1305.2990135848522,1453.132007076987,23.245158440560207,0.3874193073426701,0.43067226533670455,76262.98395723329
E1_m0_100m_all_datasets,E1_m0_100m,fineweb_edu,silu_soap,SiLU+SOAP,silu,soap_adamw,2,0,3050,100000000,2176.2140237275016,4.620669964467627,2172.9467166620016,2179.4813307930017,36.270233728791695,0.6045038954798616,0.6953830628403713,47122.289701441
E1_m0_100m_all_datasets,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,silu_soap,SiLU+SOAP,silu,soap_adamw,1,0,3050,100000000,1284.7144211754203,0.0,1284.7144211754203,1284.7144211754203,21.411907019590338,0.3568651169931723,0.4032754314405773,81254.63999367978
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb_edu,rlb_soap,RLB+SOAP,rlb_fused_global_rational,soap_adamw,3,0,3050,100000000,1480.2988339052924,63.836757055306656,1414.2138853399083,1541.6205626189476,24.671647231754875,0.4111941205292479,0.45736305437994573,71748.03190747979
E1_m0_100m_all_datasets,E1_m0_100m,fineweb_edu,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,2,0,3050,100000000,1963.051959970995,8.71707898297474,1956.888054309995,1969.2158656319953,32.71753266618325,0.5452922111030541,0.6258627883515899,52356.999072105034
E1_m0_100m_all_datasets,E1_fineweb_edu_seed2027_runtime_repair_100m,fineweb_edu,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,1,0,3050,100000000,1079.512025582604,0.0,1079.512025582604,1079.512025582604,17.991867093043403,0.2998644515507234,0.3363193788178791,97431.19803317744
E1_m0_100m_all_datasets,E1_global_rational_optimizers_100m,fineweb_edu,rlb_ademamix,RLB+ADeMaMix,rlb_fused_global_rational,ademamix,3,3,3050,100000000,280.4031497418958,39.51186129402354,235.0029293447733,307.01505924994126,4.673385829031597,0.07788976381719327,0.4456596105834605,73698.49558456439
E1_m0_100m_all_datasets,E1_m0_100m,fineweb_edu,silu_came,SiLU+CAME,silu,adafactor_came,2,0,3050,100000000,2047.1664277169912,10.317427938889738,2039.8709044569987,2054.4619509769836,34.11944046194985,0.5686573410324975,0.653941738520802,50109.11182922865
