scope,method,method_label,activation,optimizer,runs,steps,train_tokens_per_run,total_seconds_mean,total_seconds_std,total_seconds_min,total_seconds_max,total_minutes_mean,total_hours_mean,mean_seconds_per_step,tokens_per_second_mean
E1_m0_100m_all_datasets,silu_schedulefree,SiLU+ScheduleFree,silu,schedule_free_adamw,15,3050,100000000,1948.1705714441525,1236.746920947794,1105.2456574239768,6272.556152238045,32.46950952406921,0.5411584920678202,0.6207964857523551,62578.12972915074
E1_m0_100m_all_datasets,rlb_schedulefree,RLB+ScheduleFree,rlb_fused_fixed_strong_ffn,schedule_free_adamw,15,3050,100000000,2242.748360653146,1223.7855007760725,1422.2117097119917,6539.086489836976,37.3791393442191,0.622985655736985,0.7047483667508198,53057.351997186626
E2_m0_300m_dclm,rlb_matrixpolicy_original,RLB+MatrixPolicy,rlb_fused_fixed_strong_ffn,rational_matrix_policy_onpolicy,3,9150,300000000,5088.680045800672,616.5007522478613,4727.199902376975,5800.524868908105,84.81133409667787,1.413522234944631,0.5293084242085226,62518.36658201447
E2_m0_300m_dclm,silu_adamw,SiLU+AdamW,silu,adamw,3,9150,300000000,4256.248164547996,602.8328731547176,3668.4585765129887,4873.074875700055,70.93746940913326,1.1822911568188876,0.4477615261535658,74246.11295976948
E2_m0_300m_dclm,rlb_adamw,RLB+AdamW,rlb_fused_fixed_strong_ffn,adamw,3,9150,300000000,5017.6083955493605,656.5532347228595,4635.4710946830455,5775.722425551037,83.62680659248934,1.3937801098748224,0.5187887211579866,63911.7055235704
E2_m0_300m_dclm,silu_muon,SiLU+Muon,silu,muon,3,9150,300000000,4283.82187449967,888.5555295728892,3561.365866075037,5275.980870226049,71.39703124166117,1.1899505206943528,0.4497099097874954,74940.22953145175
E2_m0_300m_dclm,rlb_muon,RLB+Muon,rlb_fused_fixed_strong_ffn,muon,3,9150,300000000,5340.11315842397,681.285547680043,4935.420378085924,6126.683660243987,89.00188597373284,1.4833647662288807,0.553020476838339,59894.070635745295
E2_m0_300m_dclm,silu_lion,SiLU+Lion,silu,lion,3,9150,300000000,4057.5895258267024,720.8884706446973,3629.186218381976,4889.879475617083,67.62649209711171,1.1271082016185285,0.426497071792017,78441.95713029015
E2_m0_300m_dclm,rlb_lion,RLB+Lion,rlb_fused_fixed_strong_ffn,lion,3,9150,300000000,5016.511953423025,692.3653382160941,4615.0341073690215,5815.984052338055,83.60853255705042,1.393475542617507,0.5183824855754109,64027.806755860416
E2_m0_300m_dclm,silu_soap,SiLU+SOAP,silu,soap_adamw,3,9150,300000000,5216.448100514671,737.1417802083987,4365.86508473102,5669.296895538922,86.94080167524451,1.4490133612540752,0.5486730152337705,60587.68170330508
E2_m0_300m_dclm,rlb_soap,RLB+SOAP,rlb_fused_fixed_strong_ffn,soap_adamw,3,9150,300000000,5133.323041154968,659.2480811021743,4752.638579612947,5894.55715134996,85.55538401924947,1.4259230669874912,0.531047014156917,62405.02189841
E2_m0_300m_dclm,silu_ademamix,SiLU+ADeMaMix,silu,ademamix,3,9150,300000000,5119.453725485946,1084.2826018925352,3867.6800689419033,5766.922846351983,85.3242287580991,1.4220704793016516,0.48228944726421136,69300.39637159674
